Docket_Id,Comment_Id,Comment,Aspect,Annotator 1,Annotator 2,Annotator 3
FDA-2010-D-0277,FDA-2010-D-0277-0037,"Blue Ridge Tobacco operates eight tobacco stores with four stores located in Virginia and four in North Carolina.I am the owner of the Blue Ridge Tobacco stores and these comments regard the FDAâ€™s Draft Guidance for Industry titled â€œCompliance with Regulations Restricting the Sale and Distribution of Cigarettes and Smokeless Tobacco to Protect Children and Adults.â€Several of the recommendations in the guidance document relating to self-service displays are unreasonable, costly and do not reflect the practical reality of minors being prevented from having access to tobacco products on self-service displays.The suggestion that retailers with self-service displays have an employee stand by the door to check customer IDs is both unreasonable and costly. My stores are open from 8:00 A.M. to 8:00 P.M. on weekdays and similar hours on the weekends for a total of almost 80 business hours per week. If I had to post an employee at the door of each of my stores, I would need to hire two employees each working about 40 hours per week. At an hourly wage of $8.00 per hour plus employer taxes and benefits, that would come to over $18,000 per employee per year which means the extra cost would be greater than $36,000 per store or $288,000 for all eight stores.There are other ways to ensure that minors are not present in my stores without forcing me to hire new employees and incur substantial employee salary and benefit costs. FDA staff members need to understand that from a practical experience point of view, minors do not walk into Blue Ridge Tobacco stores on their own. That is because we have two different signs on the door warning the public that anyone under 18 is not allowed and that all customers 27 years old or younger must present valid ID. In the rare instance that a minor does walk into one of my stores, the clerks are trained to card the individual and, if he or she is underage, demand that they leave",minor,Neutral,Neutral,Neutral
FDA-2010-N-0136,FDA-2010-N-0136-0002,"( FDA2010-N-0136)While the first amendment certainly guarantees the freedom of press, restrictions are appropriate when life-threatening products are the subject of advertisement. Tobacco companies must be forced to advertise to their potential consumers. I am in agreement that billboards should not be within 1,000 feet of an elementary school, and I would further propose that it not be within that proximity to any level of public school. One might argue that teachers, staff, and parents are potential consumers, but I would combat that argument with the fact that the majority of the population of a school is not eligible to purchase tobacco products. The Bill of Rights promotes personal liberties, but it also promotes lawfulness. It is unfair to tempt underage citizens to break the law. Smaller ads should also be prohibited from being located within 1,000 feet of any public school. I feel that regardless of the size of the ad, students will notice. Once students are of legal age they may decide to purchase and use tobacco products. Our country allows it's citizens many personal liberties and the right to use tobacco is one of them. I have no issue with tobacco companies advertising their products, but they should be regulated in a manner that forces them to advertise to consumers that meet legal requirements for purchase.",advertisement,Neutral,Neutral,Neutral
FDA-2010-N-0136,FDA-2010-N-0136-0003,"The Family Smoking Prevention and Tobacco Control ActThe Family Smoking Prevention and Tobacco Control Act (Tobacco Control Act) is a great start on a problem that should have corrected long ago. Just by the fact that the U.S. continues to allow the smoking industry to operate the way that it does is an insult to all taxpayers. I recently knew a man who passed away from lung cancer as a result of 20+ years of smoking. While he was a friend of mine I was infuriated that he had absolutely no insurance thus the hospital had to pick up the bill and from there the taxpayers in my city had to pay for. Not to mention the passing of the new healthcare reform bill. Personally I feel that advertising for tobacco industries should be severed from public view, on top of that smokers should be limited to where they can smoke to prevent people like myself or an adolescent from inhaling the toxic fumes. Why should the non-smokers have to pay for advertising for tobacco industries or worse their medical bills? I say that the FDA should cross the road less traveled and cease the sales of tobacco products and outlaw them and treat them as any other drug (or poison) that people put into their bodies.",advertising,Positive,Positive,Positive
FDA-2010-N-0136,FDA-2010-N-0136-0004,"I agree that restrictions should be placed on tobacco advertisements. According to the CDC, Centers for Disease Control and Prevention, (2000) â€œregulating advertising and promotion, particularly which directed at young people, is very likely to reduce both the prevalence and initiation of smoking.â€ I am for the current age restrictions to purchase tobacco products. However, further restrictions can possibly lower the number of tobacco users. Advertisements for tobacco products persuade consumers to purchase products that can potentially be life threatening. â€œOn average, during 2000â€“2004 smoking accounted for an estimated 3.1 million years of potential life lost for males and 2 million years of potential life lost for females annually, excluding deaths from residential fires and adult deaths from secondhand smoke,â€ (Centers for Disease Control and Prevention, CDC, 2009). Tobacco doesnâ€™t only affect those people that use the product; it can affect those that are around the product as well. Second hand smoke is very dangerous. Laws forbidding smoking in restaurants is a great regulation and should be carried out nationwide. It is on a person to decide for themselves whether or not they would like to use tobacco. However, it is not up to them to decide for other and that is why those regulations, and this proposal, are very important. References Centers for Disease Control and Prevention. (2000). Smoking and tobacco use: tobacco advertising and promotion. Retrieved April 14, 2010, from http://www.cdc.gov/tobacco/data_statistics/sgr/2000/highlights/advertising/index.htm Centers for Disease Control and Prevention. (2009). Smoking and tobacco use: Smoking-attributable mortality, years of potential life lost, and productivity lossesâ€”United States, 2000-2004. Retrieved April 14, 2010, from http://www.cdc.gov/tobacco/data_statistics/mmwrs/byyear/2008/mm5745a3/highlights.htm",advertisements,Neutral,Positive,Neutral
FDA-2010-N-0136,FDA-2010-N-0136-0008,"I disagree with this proposed rule for numerous reasons. If the FDA wants to keep children from smoking, then there needs to be education programs that they can reach out to. The link between smoking and children is not advertisements; children will still see advertisements everywhere else they go. The FDA even has attempted to ban flavored and menthol cigarettes, but a researcher for the FDA said that there is no connection between menthol cigarettes and when children begin to smoke. Please read the attached document for my complete argument, as this is just a summary.",children,Neutral,Neutral,Neutral
FDA-2010-N-0136,FDA-2010-N-0136-0009,"The FDA is doing the United States a great public service by pursuing the regulation of outdoor advertising ofcigarettes and smokeless tobacco. The youth of America must be protected from advertisement strategies which draw future voters into the dilemma of developing a widely known fatal habit. As developed by Marc C. Willemsen, Dutch Foundation on Smoking and Health we must look to study the relationship between tobacco consumption and tobacco advertising through 1.econometric research on the link between expenditure on advertising and tobacco consumption2.research comparing tobacco consumption within a country before and after an ad ban3.international comparison of trends in tobacco consumption and anti-tobacco measures A recent meta-analysis of 48 econometric studies found that tobacco advertising significantly increased tobacco sales ([2]). Recent reviews by the United States Institute of Medicine ([3]), the United States Department of Health and Human Services ([4]) and the World Health Organization ([5]) reached the same conclusionIn order to ensure the regulation will not violate the First Amendment because it is not adequately tailored to achieve the substantial state interest of protecting children and adolescents from tobacco products, the FDA must pursue the total ban of outdoor advertisement since it is statistically shown to reduce tobacco consumption by up to 9%.(http://www.globalink.org/en/advertising.shtml)Since it seems the tobacco companies will somehow throw enough money around in court in order to avoid such a crippling business regulation, it would be in the best interest of the United States government to empower cities to deal locally with violations of outdoor ad regulations. Legislation may be needed to force advertisers to honor their pledge to protect children from alcohol and tobacco ads. http://linkinghub.elsevier.com/retrieve/pii/S07493797080050",advertising,Neutral,Neutral,Negative
FDA-2010-N-0136,FDA-2010-N-0136-0015,"Regarding Docket No. FDAâ€“2010â€“Nâ€“0136, RIN 0910â€“AG33:Buck Tobacco proposes that the FDA consider strengthening the restrictions on outdoor advertising at family events such as rodeos, fairs and races, in addition to addressing outdoor advertising on signage near schools and on store windows. Please see the attached document for specific recommendations and documentation.",advertising,Neutral,Positive,Neutral
FDA-2010-N-0136,FDA-2010-N-0136-0021,"The proposed rule in discussion is the prohibiting or otherwise limit billboards located within 1,000 feet of any elementary or secondary school and prohibit or otherwise limit large signs or collections of advertisements greater than 14 square feet at retail establishments located in close proximity to any elementary or secondary school. My opinion on this subject is that if one was to prohibit tobacco advertisements within 1,000 feet of any elementary or secondary school, you might as well prohibit all advertising. If we are honestly looking out for the health of our youth then all fast food billboards, alcohol billboards, tobacco billboards, as well as junk food billboards would all have to be banned. A few things came to mind when reading this proposed rule. The first thing that came into mind was how this rule could be seen as violating the First Amendment. Another thought that came to mind is why there is so much focus on limiting the advertisement of the product to minors and not the enforcement of the laws that restrict anyone under the age of 18 from smoking or using tobacco products.The purpose for advertisements is to catch the attention and interests of the consumer so that they want to buy the product. What advertising firms do in those advertisements to catch the attention of consumers can be another subject all together in regards to deceptive and misleading advertising. The point is, the advertisement is meant to get your attention. One could assume that billboard advertisements are meant for motorist, the majority being over 18, the legal age to smoke. To limit the location of an advertisement because a small portion of the wrong market segment might see it does not make sense. You can not hide certain product or items from children forever, they will either see it at home, on television, the internet, or from peers. If memory serves me, I have not seen a tobacco television commercial since 2003, which I believe is when they were banned. Instead of more restrictions and possible issues with the First Amendment, why would proper education not be the answer to deterring children from tobacco and tobacco products?",advertisement,Neutral,Neutral,Neutral
FDA-2010-N-0136,FDA-2010-N-0136-0028,ALCS submission on behalf of PM USA and USSTC.,submission,Negative,Negative,Negative
FDA-2010-N-0136,FDA-2010-N-0136-0036,"Another sad day to be an American. The regulations are crippling business and consumers alike. The more I learn the more I realize that honesty, integrity, and morality have left our leaders in every avenue. I still have faith though please reconsider the nicotine requirements on electronic cigarettes. Its sad were not worried about GMO's in our food. Please start helping us and not the special interests. Stand up for what's right.",regulations,Neutral,Neutral,Negative
FDA-2010-N-0568,FDA-2010-N-0568-0071,As a public health student I feel the campaign will get its point across. I feel that individuals that smoke and will have to carry a pack of cigarettes with logos like this will not be appealing. They will have to take responsibility. Would not be surprise to see an increase in the purchasing of cigarette wallets. The image most memorable to me was the one showing like it was a drug and the cigarette used as a needle. Why was the choice of having a cigarette in a childs mouth not an option as an image for the campaign as it has been used in commercials? I support this campaign and believe it will make a difference.,campaign,Neutral,Neutral,Neutral
FDA-2010-N-0568,FDA-2010-N-0568-0072,"I have no problem with verbal warnings, but the proposed picture warnings are unacceptable! I hope someone comes out with a sticker to cover up these images.This is another example of government overreach.",picture warnings,Neutral,Neutral,Neutral
FDA-2010-N-0568,FDA-2010-N-0568-0073,Cigarettes Are Addictive: #1 is excellent. Brand logo beneath picture has powerful impact. Should also show photo of man inserting cigarette into trache tube. Line drawings not as effective as actual photos.Using photo with cigarette brand below has more imact than no brand logo.,photo,Neutral,Positive,Neutral
FDA-2010-N-0568,FDA-2010-N-0568-0075,"I am very offended at the thought of putting these lables on packs of cigarettes. This will NOT stop people from smoking just make them feel like we are living in a country that does not allow us to make our own choices, like we are being threatened to quit something because the government says so. It is a waist of money that we as a people do not have. People already know it is bad for them. Let them make their own choices without the government trying to stop ahabit that has been happening for centuries and that also helped build this country.",choices,Neutral,Neutral,Neutral
FDA-2010-N-0568,FDA-2010-N-0568-0076,"As a someone who smoked for over 20 yrs and has recently quit, I encourage the FDA took look past the delicate sensibilities of the public and utilize the most graphic depictions of smoke-related casualties possible to discourage new smokers in the interest of public welfare.Sincerely,Mariela GonzalezRegulatory Affairs",graphic depictions,Neutral,Neutral,Negative
FDA-2010-N-0568,FDA-2010-N-0568-0077,Being a clerk in a small reatil grocery store I forsee adverse mental reactions for those who must handle these products daily.I do not smoke but the sale of cigarettes is part of the retail business. Please consider another option so as not to subject the non smoking employees to continually having to view these warning pictures. We are simply earning our wages and do not need any aditional strain on our mental state.,mental reaction,Neutral,Neutral,Neutral
FDA-2010-N-0568,FDA-2010-N-0568-0078,"I heard this morning about the FDA ruling regarding placing pictures on tobacco products within the next 2 years in an effort to stop smokers. Why all the focus on tobacco products? While tobacco products are legal, so are alcohol products which are just as destructive to human lives. If the FDA feels that placing these pictures on tobacco products will stop smokers, why not place pictures on beer cans and other alcohol products to stop that behavior? If smokers have diseased lungs, alcoholics have diseased livers. If smokers affect the health of those who are around second hand smoke, alcoholics affect those who are around a drunk driver and killed or permanently maimed. The FDA can't continuously focus on those smokers who have an addiction problem without focusing on those alcoholics who likewise are addicted to alcohol. If the FDA feels that by placing pictures on cigarette products will stop smokers, then they need to look at placing pictures on alcohol products in an effort to stop drinkers.",alcoholics,Neutral,Neutral,Neutral
FDA-2010-N-0568,FDA-2010-N-0568-0079,"Graphic images on packaging wonâ€™t dramatically affect the smoking rate. Why is it that the government would rather pay out for ads on cigarettes instead of providing free and more deeply discounted cessation aids and anti-depression and anxiety medications? Is the FDA ignorant of the fact that an addiction needs to be treated, not slapped in the face by increased cost and disturbing color images?",addiction,Positive,Neutral,Positive
FDA-2010-N-0568,FDA-2010-N-0568-0081,"Hello,I would like to commend you for your movements to change cigarette product warnings, but I feel obligated to tell you that the graphics will not be much of a deterrent for smokers.I am a graphic design student who has had the privilege to visit Hong Kong, China. In HK, they already have similar cigarette product warnings, but they are much more extreme. I think that with the gore that we see in movies and on television, we have been desensitized to disgustingly morbid images. I believe that to make this campaign work, you really need to increase the realism in your campaign-- when has anyone ever been afraid of an illustrated image? Here is an article about Hong Kong's cigarette advertising: http://tobacco.cleartheair.org.hk/?p=1502I hope that this helps your campaign and I wish you the best in it.Thank you,Erin Johnson",product warning,Negative,Negative,Negative
FDA-2010-N-0568,FDA-2010-N-0568-0083,"The new comprehensive tobacco control strategy that includes new bolder warnings has completely left out American Indians. American Indians are a racial group that has the highest smoking rate of any group in this country and the highest rates of accompanying diseases including lung cancer. What must we do to be included in these warnings. The tobacco companies exploit our images to promote the sales of commercial tobacco to not only Indigenous communities but to other populations as well. We need more culturally specific prevention, counter marketing and cessation programs in our communities especially those the hardest hit by tobacco related diseases. Thank you,Sharon Day",American Indians,Positive,Positive,Positive
FDA-2010-N-0568,FDA-2010-N-0568-0085,"I don't think the FDA should regulate packaging of cigarettes, it should be up to the manufacturers. People will continue smoke, even if cigarettes are banned. Let them. It is a free country after all.Thank you.",packing,Negative,Negative,Positive
FDA-2010-N-0568,FDA-2010-N-0568-0088,"I'm very upset about this issue. Why do the FDA and the government always target smokers? That's the question I keep asking. It's not children (high school children) that you are concerned about. High school kids have a lot of money, because they don't have to pay for bills, therefore they have the funds to purchase cigarettes if they wanted to. I am a smoker. I am shocked that the FDA is planning on this. It's the fact that you ALWAYS target smokers! You never seen anything happening about alcohol or illegal drugs. You always have to fault the of-age smokers. Do you actually think that people will stop buying cigarettes because of pictures???? Seriously??? That's dumb!! I'll continue to buy my cigarettes! They are LEGAL and you need to quit hurting the tobacco companies (who are employing people in the United States!!!) Thanks for listening.",smokers,Positive,Positive,Positive
FDA-2010-N-0568,FDA-2010-N-0568-0089,"As a public health professional who has been advocating for FDA control of tobacco and regulations that allow people to see tobacco for what it is, I applaud the new color graphics.As a mother whose 24 year old daughter smokes and is the mother of a three year old, I defy her to buy cigarettes that show effects on children. As a mother of a 28 year old son who smokes to relieve stress while he goes to college, I'd rather the stress be the images on the tobacco packs.",regulations,Negative,Neutral,Negative
FDA-2010-N-0568,FDA-2010-N-0568-0090,* WARNING: Cigarettes are addictive. Most effective : Choice #1oWARNING: Tobacco smoke can harm your children. Most effective : Choice #1ooWARNING: Cigarettes cause fatal lung disease. Most effective : Choice #1ooWARNING: Cigarettes cause cancer. Most effective : Choice #3ooWARNING: Cigarettes cause strokes and heart disease. Most effective : Choice #4ooWARNING: Smoking during pregnancy can harm your baby. Most effective : Choice #1ooWARNING: Smoking can kill you. Most effective : Choice #3ooWARNING: Tobacco smoke causes fatal lung disease in nonsmokers. Most effective : Choice #2ooWARNING: Quitting smoking now greatly reduces serious risks to your health. Most effective : Choice #3 -- Good to have positive image for quitting,Quitting smoking,Negative,Negative,Negative
FDA-2010-N-0568,FDA-2010-N-0568-0091,The added labeling should show how it effects children rather than oneself.,children,Negative,Negative,Negative
FDA-2010-N-0568,FDA-2010-N-0568-0092,"As a smoker, I have to say that I don't find these new warnings to be a compelling way to get me to stop smoking. I've had the standard arguments thrown at me time after time and I've learned to just block them out. I think a much more effective solution, one that I would appreciate and take to heart, should include a message of positivity rather than patronization. Make me more aware of the resources available to me to stop smoking, don't try to scare me into quitting cold turkey.",solution,Negative,Negative,Neutral
FDA-2010-N-0568,FDA-2010-N-0568-0094,i think its great that they are finally giving tobacco smokers a proper warning but in my opinion some of the images are just a little to graphic.,images,Negative,Negative,Negative
FDA-2010-N-0568,FDA-2010-N-0568-0096,"Dear Whom It May Concern: I just wanted to let you know that I am shocked that the Goverment will stoop as low as putting pictures on cigarettes showing the possible side effects of Tobacco use. What right does the Goverment have to do this. I am a smoker going on twenty years now, I can tell you this, No matter what the Goverment does, I will never quite smoking. It is my God Given Right to smoke, Yes I know the possible side effects, but I also Know the possitive side to smokeing. People have the right to smoke if they want, they have a right to quite if they want and yes its there choice if they to choose to die, The Goverment has no right to step in and tell the american people what to do. I served in the Military so I know how the goverment works and I am just shocked hRightow low the goverment has gotten. The Goverment has better things to do. Leave the American people alone.",Right,Negative,Negative,Negative
FDA-2010-N-0568,FDA-2010-N-0568-0097,"We have been asked to comment on the warning lables, etc., and this on-line process is entirely too complex for the general public and even for us public health professionals. The public comment are should be UP FRONT, EASY TO GET TO AND MUCH EASIER TO UTILIZE ONCE THERE!",warning,Negative,Negative,Positive
FDA-2010-N-0568,FDA-2010-N-0568-0098,"I am voting for some of the images that should be displayed on cigarette packages.Cigarettes cause cancer- #3B, 1B, 4BCigarettes cause fatal lung disease- #3B, 1BCigarettes are addictive- #1BTobacco smoke can harm your children- #2B, 1BSmoking can kill you- #1ATobacco smoke causes fatal lung disease in nonsmokers- #3BI hope my opinions may help in making your decisions. I look forward to seeing images such as these on cigarette packeges for smokers to have to look at them every day. Honestly, you should find some more gruesome images...maybe it will change some smokers' minds about finally quiting.",images,Negative,Negative,Negative
